Pk,Tm,Player,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
,,,,,,,,,,,,,,,,,,,
1,CHI,Derrick Rose,13,672,21317,12230,2239,3646,.457,.316,.830,31.7,18.2,3.3,5.4,44.2,.100,1.4,18.5
2,MIA,Michael Beasley,11,609,13903,7568,2861,788,.465,.349,.759,22.8,12.4,4.7,1.3,15.6,.054,-1.7,0.9
3,MIN,O.J. Mayo,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.9,4.7
4,SEA,Russell Westbrook,14,1021,35426,23298,7541,8611,.438,.305,.783,34.7,22.8,7.4,8.4,106.5,.144,4.3,55.8
5,MEM,Kevin Love,14,812,25090,14305,8666,1920,.441,.373,.829,30.9,17.6,10.7,2.4,88.6,.170,3.4,34.0
6,NYK,Danilo Gallinari,13,728,21780,11327,3510,1414,.428,.382,.877,29.9,15.6,4.8,1.9,64.1,.141,1.8,20.8
7,LAC,Eric Gordon,14,749,24257,12263,1811,2121,.428,.371,.810,32.4,16.4,2.4,2.8,36.3,.072,-0.6,8.7
8,MIL,Joe Alexander,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.6,-0.3
9,CHA,D.J. Augustin,14,976,22851,9259,1805,3761,.412,.381,.867,23.4,9.5,1.8,3.9,47.7,.100,-0.7,7.6
10,NJN,Brook Lopez,14,868,26192,14247,5407,1246,.494,.341,.796,30.2,16.4,6.2,1.4,71.5,.131,1.3,21.7
11,IND,Jerryd Bayless,11,586,12486,4909,1235,1674,.411,.361,.818,21.3,8.4,2.1,2.9,18.6,.072,-1.6,1.1
12,SAC,Jason Thompson,8,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-2.6,-2.4
13,POR,Brandon Rush,9,481,10564,3250,1413,468,.426,.402,.706,22.0,6.8,2.9,1.0,11.2,.051,-1.4,1.6
14,GSW,Anthony Randolph,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-1.6,0.4
15,PHO,Robin Lopez,14,939,20573,8196,4604,796,.536,.294,.742,21.9,8.7,4.9,0.8,49.0,.114,-1.1,4.7
16,PHI,Marreese Speights,10,705,10640,5592,2875,461,.459,.356,.797,15.1,7.9,4.1,0.7,25.8,.116,-2.2,-0.6
17,TOR,Roy Hibbert,9,662,16389,6611,4173,885,.465,.250,.755,24.8,10.0,6.3,1.3,35.9,.105,-1.1,3.5
18,WAS,JaVale McGee,14,821,13982,6536,4344,358,.576,.182,.605,17.0,8.0,5.3,0.4,42.4,.146,0.1,7.4
19,CLE,J.J. Hickson,8,534,11925,5081,3639,449,.505,.000,.617,22.3,9.5,6.8,0.8,21.9,.088,-1.8,0.5
20,CHA,Alexis Ajinça,7,293,3905,1553,1150,143,.503,.286,.797,13.3,5.3,3.9,0.5,7.5,.093,-2.8,-0.8
21,NJN,Ryan Anderson,12,649,16769,8001,3413,586,.422,.380,.854,25.8,12.3,5.3,0.9,46.7,.134,1.0,12.8
22,ORL,Courtney Lee,12,811,21938,7765,2127,1353,.451,.388,.853,27.1,9.6,2.6,1.7,39.3,.086,-0.6,7.9
23,UTA,Kosta Koufos,11,686,11271,3913,3452,359,.534,.000,.582,16.4,5.7,5.0,0.5,28.3,.120,-1.3,2.0
24,SEA,Serge Ibaka,13,903,24941,10962,6469,745,.513,.360,.758,27.6,12.1,7.2,0.8,72.8,.140,0.5,15.8
25,HOU,Nicolas Batum,14,915,28030,10149,4707,3215,.437,.363,.837,30.6,11.1,5.1,3.5,63.5,.109,1.7,26.1
26,SAS,George Hill,14,869,23667,9313,2646,2697,.456,.380,.807,27.2,10.7,3.0,3.1,69.1,.140,1.2,19.3
27,NOH,Darrell Arthur,9,503,8945,3282,1768,409,.444,.352,.765,17.8,6.5,3.5,0.8,12.3,.066,-2.2,-0.4
28,MEM,Donté Greene,4,253,4259,1541,600,183,.406,.304,.701,16.8,6.1,2.4,0.7,1.5,.017,-2.8,-0.9
29,DET,D.J. White,6,138,2111,810,437,80,.507,.333,.720,15.3,5.9,3.2,0.6,3.8,.087,-2.1,0.0
30,BOS,J.R. Giddens,2,38,247,73,54,13,.476,.000,.565,6.5,1.9,1.4,0.3,0.1,.027,-4.3,-0.1
