"Notes"	"Month Day, Year"	"Month Day, Year Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"Jan 01, 1979"	"1979/01/01"	29.03	15.16	Missing
	"Jan 02, 1979"	"1979/01/02"	31.35	11.76	Missing
	"Jan 03, 1979"	"1979/01/03"	41.66	19.72	Missing
	"Jan 04, 1979"	"1979/01/04"	47.30	30.59	Missing
	"Jan 05, 1979"	"1979/01/05"	46.89	31.94	Missing
	"Jan 06, 1979"	"1979/01/06"	43.10	30.62	Missing
	"Jan 07, 1979"	"1979/01/07"	40.68	26.23	Missing
	"Jan 08, 1979"	"1979/01/08"	37.33	21.78	Missing
	"Jan 09, 1979"	"1979/01/09"	43.95	25.67	Missing
	"Jan 10, 1979"	"1979/01/10"	41.23	31.12	Missing
	"Jan 11, 1979"	"1979/01/11"	45.63	31.22	Missing
	"Jan 12, 1979"	"1979/01/12"	58.26	34.76	Missing
	"Jan 13, 1979"	"1979/01/13"	50.46	23.89	80.21
	"Jan 14, 1979"	"1979/01/14"	35.42	19.35	Missing
	"Jan 15, 1979"	"1979/01/15"	48.86	23.81	Missing
	"Jan 16, 1979"	"1979/01/16"	61.31	39.96	Missing
	"Jan 17, 1979"	"1979/01/17"	66.55	49.33	82.03
	"Jan 18, 1979"	"1979/01/18"	68.68	52.72	82.49
	"Jan 19, 1979"	"1979/01/19"	69.34	51.81	84.39
	"Jan 20, 1979"	"1979/01/20"	56.94	39.80	Missing
	"Jan 21, 1979"	"1979/01/21"	53.80	34.82	Missing
	"Jan 22, 1979"	"1979/01/22"	61.10	36.33	Missing
	"Jan 23, 1979"	"1979/01/23"	50.93	31.06	Missing
	"Jan 24, 1979"	"1979/01/24"	47.89	27.68	Missing
	"Jan 25, 1979"	"1979/01/25"	52.36	35.87	Missing
	"Jan 26, 1979"	"1979/01/26"	53.91	38.17	80.95
	"Jan 27, 1979"	"1979/01/27"	46.64	31.75	Missing
	"Jan 28, 1979"	"1979/01/28"	43.25	28.16	Missing
	"Jan 29, 1979"	"1979/01/29"	44.17	32.08	Missing
	"Jan 30, 1979"	"1979/01/30"	46.04	28.18	Missing
	"Jan 31, 1979"	"1979/01/31"	40.68	21.93	Missing
	"Feb 01, 1979"	"1979/02/01"	49.16	26.76	Missing
	"Feb 02, 1979"	"1979/02/02"	57.98	37.48	Missing
	"Feb 03, 1979"	"1979/02/03"	57.15	44.01	81.41
	"Feb 04, 1979"	"1979/02/04"	50.64	40.79	Missing
	"Feb 05, 1979"	"1979/02/05"	43.98	33.34	Missing
	"Feb 06, 1979"	"1979/02/06"	45.61	33.23	Missing
	"Feb 07, 1979"	"1979/02/07"	50.01	32.79	Missing
	"Feb 08, 1979"	"1979/02/08"	56.12	31.07	Missing
	"Feb 09, 1979"	"1979/02/09"	46.70	24.86	Missing
	"Feb 10, 1979"	"1979/02/10"	58.97	31.64	Missing
	"Feb 11, 1979"	"1979/02/11"	66.87	41.91	Missing
	"Feb 12, 1979"	"1979/02/12"	67.01	47.08	Missing
	"Feb 13, 1979"	"1979/02/13"	73.20	48.21	81.08
	"Feb 14, 1979"	"1979/02/14"	79.40	52.21	81.25
	"Feb 15, 1979"	"1979/02/15"	75.97	44.26	84.01
	"Feb 16, 1979"	"1979/02/16"	46.62	28.59	Missing
	"Feb 17, 1979"	"1979/02/17"	38.61	24.22	Missing
	"Feb 18, 1979"	"1979/02/18"	47.16	27.74	Missing
	"Feb 19, 1979"	"1979/02/19"	54.02	30.37	Missing
	"Feb 20, 1979"	"1979/02/20"	66.43	40.22	Missing
	"Feb 21, 1979"	"1979/02/21"	71.85	46.81	82.56
	"Feb 22, 1979"	"1979/02/22"	74.85	54.00	85.02
	"Feb 23, 1979"	"1979/02/23"	70.73	50.78	86.72
	"Feb 24, 1979"	"1979/02/24"	59.77	40.69	82.94
	"Feb 25, 1979"	"1979/02/25"	57.47	34.17	Missing
	"Feb 26, 1979"	"1979/02/26"	63.02	35.91	Missing
	"Feb 27, 1979"	"1979/02/27"	66.52	41.73	Missing
	"Feb 28, 1979"	"1979/02/28"	67.46	47.03	80.08
	"Mar 01, 1979"	"1979/03/01"	71.08	43.88	81.71
	"Mar 02, 1979"	"1979/03/02"	71.91	50.21	85.68
